Station location,Ecozone,Site code,Type of ecosystem,Year,Sample number,Depth (cm)
Emplacement de la station,Écozone,Code de site,Type d’écosystème,Année,Numéro d’échantillon,Profondeur (cm)
Roberge Lake,Peat Plateau - Polygon Center,RPP,polygon,2012,15,4
Roberge Lake,Peat Plateau - Polygon Center,RPP,polygon,2012,16,8
Roberge Lake,Peat Plateau - Polygon Center,RPP,polygon,2012,17,3
Roberge Lake,Peat Plateau - Polygon Center,RPP,polygon,2012,18,5
Roberge Lake,Peat Plateau - Polygon Center,RPP,polygon,2012,19,5
Roberge Lake,Peat Plateau - Polygon Center,RPP,polygon,2012,20,5
Roberge Lake,Peat Plateau - Polygon Center,RPP,polygon,2012,21,8
Roberge Lake,Peat Plateau - Polygon Center,RPP,polygon,2012,22,7
Roberge Lake,Peat Plateau - Polygon Center,RPP,polygon,2012,23,4
Roberge Lake,Peat Plateau - Polygon Center,RPP,polygon,2012,24,6
Roberge Lake,Peat Plateau - Polygon Center,RPP,polygon,2012,25,6
Roberge Lake,Peat Plateau - Polygon Center,RPP,polygon,2012,26,5
Roberge Lake,Peat Plateau - Polygon Center,RPP,polygon,2012,27,4
Roberge Lake,Peat Plateau - Polygon Center,RPP,polygon,2012,28,5
Roberge Lake,Peat Plateau - Polygon Center,RPP,polygon,2012,29,3
Roberge Lake,Peat Plateau - Polygon Center,RPP,polygon,2012,30,10
Roberge Lake,Peat Plateau - Polygon Center,RPP,polygon,2012,31,5
Roberge Lake,Peat Plateau - Polygon Center,RPP,polygon,2012,32,5
Roberge Lake,Peat Plateau - Polygon Center,RPP,polygon,2012,33,8
Roberge Lake,Tree Island,RTI,island,2012,1,122
Roberge Lake,Tree Island,RTI,island,2012,2,117
Roberge Lake,Tree Island,RTI,island,2012,3,88
Roberge Lake,Tree Island,RTI,island,2012,4,88
Roberge Lake,Tree Island,RTI,island,2012,5,70
Roberge Lake,Tree Island,RTI,island,2012,6,82
Roberge Lake,Tree Island,RTI,island,2012,7,78
Roberge Lake,Tree Island,RTI,island,2012,8,114
Roberge Lake,Tree Island,RTI,island,2012,9,96
Roberge Lake,Tree Island,RTI,island,2012,10,86
Roberge Lake,Tree Island,RTI,island,2012,11,68
Roberge Lake,Tree Island,RTI,island,2012,12,128
Roberge Lake,Tree Island,RTI,island,2012,13,134
Roberge Lake,Tree Island,RTI,island,2012,14,117
Roberge Lake,Tree Island,RTI,island,2012,15,113
Roberge Lake,Tree Island,RTI,island,2012,16,118
Roberge Lake,Tree Island,RTI,island,2012,17,88
Roberge Lake,Tree Island,RTI,island,2012,18,120
Roberge Lake,Tree Island,RTI,island,2012,19,110
Roberge Lake,Tree Island,RTI,island,2012,20,148
Roberge Lake,Tree Island,RTI,island,2012,21,136
Roberge Lake,Tree Island,RTI,island,2012,22,100
Roberge Lake,Tree Island,RTI,island,2012,23,116
Roberge Lake,Tree Island,RTI,island,2012,24,94
Roberge Lake,Tree Island,RTI,island,2012,25,88
Roberge Lake,Tree Island,RTI,island,2012,26,148
Roberge Lake,Tree Island,RTI,island,2012,27,116
Roberge Lake,Tree Island,RTI,island,2012,28,132
Roberge Lake,Tree Island,RTI,island,2012,29,108
Roberge Lake,Tree Island,RTI,island,2012,30,103
Roberge Lake,Tree Island,RTI,island,2012,31,109
Roberge Lake,Tree Island,RTI,island,2012,32,110
Roberge Lake,Tree Island,RTI,island,2012,33,103
Broad,Coastal Beach Ridge,BBR,beach,2013,1,7
Broad,Coastal Beach Ridge,BBR,beach,2013,2,15
Broad,Coastal Beach Ridge,BBR,beach,2013,3,8.5
Broad,Coastal Beach Ridge,BBR,beach,2013,4,29.5
Broad,Coastal Beach Ridge,BBR,beach,2013,5,9.5
Broad,Coastal Beach Ridge,BBR,beach,2013,6,6.5
Broad,Coastal Beach Ridge,BBR,beach,2013,7,8
Broad,Coastal Beach Ridge,BBR,beach,2013,8,13.5
Broad,Coastal Beach Ridge,BBR,beach,2013,9,5
Broad,Coastal Beach Ridge,BBR,beach,2013,10,19.5
Broad,Coastal Beach Ridge,BBR,beach,2013,11,10
Broad,Coastal Beach Ridge,BBR,beach,2013,12,14
Broad,Coastal Beach Ridge,BBR,beach,2013,13,12
Broad,Coastal Beach Ridge,BBR,beach,2013,14,13.5
Broad,Coastal Beach Ridge,BBR,beach,2013,15,7.5
Broad,Coastal Beach Ridge,BBR,beach,2013,16,10.5
Broad,Coastal Beach Ridge,BBR,beach,2013,17,11.5
Broad,Coastal Beach Ridge,BBR,beach,2013,18,15
Broad,Coastal Beach Ridge,BBR,beach,2013,19,18
Broad,Coastal Beach Ridge,BBR,beach,2013,20,8
Broad,Coastal Beach Ridge,BBR,beach,2013,21,24
Broad,Coastal Beach Ridge,BBR,beach,2013,22,9.5
Broad,Coastal Beach Ridge,BBR,beach,2013,23,11
Broad,Coastal Beach Ridge,BBR,beach,2013,24,10
Broad,Coastal Beach Ridge,BBR,beach,2013,25,14
Broad,Coastal Beach Ridge,BBR,beach,2013,26,17
Broad,Coastal Beach Ridge,BBR,beach,2013,27,14
Broad,Coastal Beach Ridge,BBR,beach,2013,28,10
Broad,Coastal Beach Ridge,BBR,beach,2013,29,9.5
Broad,Coastal Beach Ridge,BBR,beach,2013,30,4.5
Broad,Coastal Beach Ridge,BBR,beach,2013,31,10
Broad,Coastal Beach Ridge,BBR,beach,2013,32,10.5
Broad,Coastal Beach Ridge,BBR,beach,2013,33,12
Broad,Riparian Forest,BRF,forest,2013,1,102
Broad,Riparian Forest,BRF,forest,2013,2,100
Broad,Riparian Forest,BRF,forest,2013,3,102
Broad,Riparian Forest,BRF,forest,2013,4,110
Broad,Riparian Forest,BRF,forest,2013,5,110
Broad,Riparian Forest,BRF,forest,2013,6,97
Broad,Riparian Forest,BRF,forest,2013,7,102
Broad,Riparian Forest,BRF,forest,2013,8,103
Broad,Riparian Forest,BRF,forest,2013,9,98
Broad,Riparian Forest,BRF,forest,2013,10,103
Broad,Riparian Forest,BRF,forest,2013,11,93
Broad,Riparian Forest,BRF,forest,2013,12,95
Broad,Riparian Forest,BRF,forest,2013,13,90
Broad,Riparian Forest,BRF,forest,2013,14,93
Broad,Riparian Forest,BRF,forest,2013,15,93
Broad,Riparian Forest,BRF,forest,2013,16,90
Broad,Riparian Forest,BRF,forest,2013,17,85
Broad,Riparian Forest,BRF,forest,2013,18,90
Broad,Riparian Forest,BRF,forest,2013,19,90
Broad,Riparian Forest,BRF,forest,2013,20,88
Broad,Riparian Forest,BRF,forest,2013,21,81
Broad,Riparian Forest,BRF,forest,2013,22,80
Broad,Riparian Forest,BRF,forest,2013,23,79
Broad,Riparian Forest,BRF,forest,2013,24,83
Broad,Riparian Forest,BRF,forest,2013,25,86
Broad,Riparian Forest,BRF,forest,2013,26,85
Broad,Riparian Forest,BRF,forest,2013,27,85
Broad,Riparian Forest,BRF,forest,2013,28,84
Broad,Riparian Forest,BRF,forest,2013,29,89
Broad,Riparian Forest,BRF,forest,2013,30,100
Broad,Riparian Forest,BRF,forest,2013,31,100
Broad,Riparian Forest,BRF,forest,2013,32,104
Broad,Riparian Forest,BRF,forest,2013,33,89
Broad,Sedge Fen,BCF,fen,2013,1,4
Broad,Sedge Fen,BCF,fen,2013,2,10
Broad,Sedge Fen,BCF,fen,2013,3,14
Broad,Sedge Fen,BCF,fen,2013,4,14
Broad,Sedge Fen,BCF,fen,2013,5,19
Broad,Sedge Fen,BCF,fen,2013,6,20
Broad,Sedge Fen,BCF,fen,2013,7,29
Broad,Sedge Fen,BCF,fen,2013,8,40.5
Broad,Sedge Fen,BCF,fen,2013,9,42.5
Broad,Sedge Fen,BCF,fen,2013,10,39
Broad,Sedge Fen,BCF,fen,2013,11,30.5
Broad,Sedge Fen,BCF,fen,2013,12,25
Broad,Sedge Fen,BCF,fen,2013,13,19
Broad,Sedge Fen,BCF,fen,2013,14,15.5
Broad,Sedge Fen,BCF,fen,2013,15,22
Broad,Sedge Fen,BCF,fen,2013,16,20
Broad,Sedge Fen,BCF,fen,2013,17,25
Broad,Sedge Fen,BCF,fen,2013,18,20
Broad,Sedge Fen,BCF,fen,2013,19,25.5
Broad,Sedge Fen,BCF,fen,2013,20,22
Broad,Sedge Fen,BCF,fen,2013,21,23
Broad,Sedge Fen,BCF,fen,2013,22,27
Broad,Sedge Fen,BCF,fen,2013,23,27
Broad,Sedge Fen,BCF,fen,2013,24,28
Broad,Sedge Fen,BCF,fen,2013,25,31
Broad,Sedge Fen,BCF,fen,2013,26,33
Broad,Sedge Fen,BCF,fen,2013,27,38
Broad,Sedge Fen,BCF,fen,2013,28,40
Broad,Sedge Fen,BCF,fen,2013,29,31
Broad,Sedge Fen,BCF,fen,2013,30,26
Broad,Sedge Fen,BCF,fen,2013,31,26
Broad,Sedge Fen,BCF,fen,2013,32,28
Broad,Sedge Fen,BCF,fen,2013,33,38
Broad,Shrub,BSH,shrub,2013,1,94
Broad,Shrub,BSH,shrub,2013,2,87
Broad,Shrub,BSH,shrub,2013,3,87
Broad,Shrub,BSH,shrub,2013,4,82
Broad,Shrub,BSH,shrub,2013,5,81
Broad,Shrub,BSH,shrub,2013,6,84
Broad,Shrub,BSH,shrub,2013,7,77
Broad,Shrub,BSH,shrub,2013,8,85
Broad,Shrub,BSH,shrub,2013,9,88
Broad,Shrub,BSH,shrub,2013,10,84
Broad,Shrub,BSH,shrub,2013,11,84
Broad,Shrub,BSH,shrub,2013,12,87
Broad,Shrub,BSH,shrub,2013,13,93
Broad,Shrub,BSH,shrub,2013,14,87
Broad,Shrub,BSH,shrub,2013,15,86
Broad,Shrub,BSH,shrub,2013,16,86
Broad,Shrub,BSH,shrub,2013,17,92
Broad,Shrub,BSH,shrub,2013,18,88
Broad,Shrub,BSH,shrub,2013,19,82
Broad,Shrub,BSH,shrub,2013,20,86
Broad,Shrub,BSH,shrub,2013,21,98
Broad,Shrub,BSH,shrub,2013,22,98
Broad,Shrub,BSH,shrub,2013,23,94
Broad,Shrub,BSH,shrub,2013,24,94
Broad,Shrub,BSH,shrub,2013,25,98
Broad,Shrub,BSH,shrub,2013,26,98
Broad,Shrub,BSH,shrub,2013,27,96
Broad,Shrub,BSH,shrub,2013,28,82
Broad,Shrub,BSH,shrub,2013,29,94
Broad,Shrub,BSH,shrub,2013,30,90
Broad,Shrub,BSH,shrub,2013,31,86
Broad,Shrub,BSH,shrub,2013,32,77
Broad,Shrub,BSH,shrub,2013,33,79
Broad,Spruce Forest,BSF,forest,2013,1,56
Broad,Spruce Forest,BSF,forest,2013,2,54
Broad,Spruce Forest,BSF,forest,2013,3,55
Broad,Spruce Forest,BSF,forest,2013,4,64
Broad,Spruce Forest,BSF,forest,2013,5,62
Broad,Spruce Forest,BSF,forest,2013,6,55
Broad,Spruce Forest,BSF,forest,2013,7,60
Broad,Spruce Forest,BSF,forest,2013,8,51
Broad,Spruce Forest,BSF,forest,2013,9,54
Broad,Spruce Forest,BSF,forest,2013,10,50
Broad,Spruce Forest,BSF,forest,2013,11,50
Broad,Spruce Forest,BSF,forest,2013,12,54
Broad,Spruce Forest,BSF,forest,2013,13,53
Broad,Spruce Forest,BSF,forest,2013,14,52
Broad,Spruce Forest,BSF,forest,2013,15,50
Broad,Spruce Forest,BSF,forest,2013,16,47
Broad,Spruce Forest,BSF,forest,2013,17,56
Broad,Spruce Forest,BSF,forest,2013,18,50
Broad,Spruce Forest,BSF,forest,2013,19,50
Broad,Spruce Forest,BSF,forest,2013,20,54
Broad,Spruce Forest,BSF,forest,2013,21,56
Broad,Spruce Forest,BSF,forest,2013,22,55
Broad,Spruce Forest,BSF,forest,2013,23,55
Broad,Spruce Forest,BSF,forest,2013,24,53
Broad,Spruce Forest,BSF,forest,2013,25,48
Broad,Spruce Forest,BSF,forest,2013,26,52
Broad,Spruce Forest,BSF,forest,2013,27,50
Broad,Spruce Forest,BSF,forest,2013,28,52
Broad,Spruce Forest,BSF,forest,2013,29,52
Broad,Spruce Forest,BSF,forest,2013,30,54
Broad,Spruce Forest,BSF,forest,2013,31,54
Broad,Spruce Forest,BSF,forest,2013,32,55
Broad,Spruce Forest,BSF,forest,2013,33,54
Mary Lake,Forest,MLK,forest,2013,1,65
Mary Lake,Forest,MLK,forest,2013,2,69
Mary Lake,Forest,MLK,forest,2013,3,64
Mary Lake,Forest,MLK,forest,2013,4,61
Mary Lake,Forest,MLK,forest,2013,5,59
Mary Lake,Forest,MLK,forest,2013,6,72
Mary Lake,Forest,MLK,forest,2013,7,68
Mary Lake,Forest,MLK,forest,2013,8,75
Mary Lake,Forest,MLK,forest,2013,9,70
Mary Lake,Forest,MLK,forest,2013,10,66
Mary Lake,Forest,MLK,forest,2013,11,85
Mary Lake,Forest,MLK,forest,2013,12,79
Mary Lake,Forest,MLK,forest,2013,13,78
Mary Lake,Forest,MLK,forest,2013,14,71
Mary Lake,Forest,MLK,forest,2013,15,70
Mary Lake,Forest,MLK,forest,2013,16,73
Mary Lake,Forest,MLK,forest,2013,17,73
Mary Lake,Forest,MLK,forest,2013,18,60
Mary Lake,Forest,MLK,forest,2013,19,60
Mary Lake,Forest,MLK,forest,2013,20,62
Mary Lake,Forest,MLK,forest,2013,21,58
Mary Lake,Forest,MLK,forest,2013,22,65
Mary Lake,Forest,MLK,forest,2013,23,68
Mary Lake,Forest,MLK,forest,2013,24,75
Mary Lake,Forest,MLK,forest,2013,25,78
Mary Lake,Forest,MLK,forest,2013,26,56
Mary Lake,Forest,MLK,forest,2013,27,51
Mary Lake,Forest,MLK,forest,2013,28,65
Mary Lake,Forest,MLK,forest,2013,29,63
Mary Lake,Forest,MLK,forest,2013,30,57
Mary Lake,Forest,MLK,forest,2013,31,56
Mary Lake,Forest,MLK,forest,2013,32,57
Mary Lake,Forest,MLK,forest,2013,33,60
Owl,Coastal Beach Ridge,OBR,beach,2013,1,4
Owl,Coastal Beach Ridge,OBR,beach,2013,2,11
Owl,Coastal Beach Ridge,OBR,beach,2013,3,10
Owl,Coastal Beach Ridge,OBR,beach,2013,4,6
Owl,Coastal Beach Ridge,OBR,beach,2013,5,5
Owl,Coastal Beach Ridge,OBR,beach,2013,6,5
Owl,Coastal Beach Ridge,OBR,beach,2013,7,7
Owl,Coastal Beach Ridge,OBR,beach,2013,8,4
Owl,Coastal Beach Ridge,OBR,beach,2013,9,7
Owl,Coastal Beach Ridge,OBR,beach,2013,10,6
Owl,Coastal Beach Ridge,OBR,beach,2013,11,6
Owl,Coastal Beach Ridge,OBR,beach,2013,12,4
Owl,Coastal Beach Ridge,OBR,beach,2013,13,4
Owl,Coastal Beach Ridge,OBR,beach,2013,14,6
Owl,Coastal Beach Ridge,OBR,beach,2013,15,5
Owl,Coastal Beach Ridge,OBR,beach,2013,16,6
Owl,Coastal Beach Ridge,OBR,beach,2013,17,6
Owl,Coastal Beach Ridge,OBR,beach,2013,18,4
Owl,Coastal Beach Ridge,OBR,beach,2013,19,5
Owl,Coastal Beach Ridge,OBR,beach,2013,20,8
Owl,Coastal Beach Ridge,OBR,beach,2013,21,6
Owl,Coastal Beach Ridge,OBR,beach,2013,22,4
Owl,Coastal Beach Ridge,OBR,beach,2013,23,4
Owl,Coastal Beach Ridge,OBR,beach,2013,24,5
Owl,Coastal Beach Ridge,OBR,beach,2013,25,5
Owl,Coastal Beach Ridge,OBR,beach,2013,26,6
Owl,Coastal Beach Ridge,OBR,beach,2013,27,5
Owl,Coastal Beach Ridge,OBR,beach,2013,28,5
Owl,Coastal Beach Ridge,OBR,beach,2013,29,6
Owl,Coastal Beach Ridge,OBR,beach,2013,30,6
Owl,Coastal Beach Ridge,OBR,beach,2013,31,4
Owl,Coastal Beach Ridge,OBR,beach,2013,32,4
Owl,Coastal Beach Ridge,OBR,beach,2013,33,5
Owl,Coastal Fen,OCF,fen,2013,1,85
Owl,Coastal Fen,OCF,fen,2013,2,88
Owl,Coastal Fen,OCF,fen,2013,3,85
Owl,Coastal Fen,OCF,fen,2013,4,99
Owl,Coastal Fen,OCF,fen,2013,5,102
Owl,Coastal Fen,OCF,fen,2013,6,115
Owl,Coastal Fen,OCF,fen,2013,7,104
Owl,Coastal Fen,OCF,fen,2013,8,101
Owl,Coastal Fen,OCF,fen,2013,9,114
Owl,Coastal Fen,OCF,fen,2013,10,109
Owl,Coastal Fen,OCF,fen,2013,11,82
Owl,Coastal Fen,OCF,fen,2013,12,104
Owl,Coastal Fen,OCF,fen,2013,13,113
Owl,Coastal Fen,OCF,fen,2013,14,104
Owl,Coastal Fen,OCF,fen,2013,15,83
Owl,Coastal Fen,OCF,fen,2013,16,81
Owl,Coastal Fen,OCF,fen,2013,17,89
Owl,Coastal Fen,OCF,fen,2013,18,86
Owl,Coastal Fen,OCF,fen,2013,19,87
Owl,Coastal Fen,OCF,fen,2013,20,87
Owl,Coastal Fen,OCF,fen,2013,21,90
Owl,Coastal Fen,OCF,fen,2013,22,89
Owl,Coastal Fen,OCF,fen,2013,23,72
Owl,Coastal Fen,OCF,fen,2013,24,83
Owl,Coastal Fen,OCF,fen,2013,25,75
Owl,Coastal Fen,OCF,fen,2013,26,68
Owl,Coastal Fen,OCF,fen,2013,27,71
Owl,Coastal Fen,OCF,fen,2013,28,73
Owl,Coastal Fen,OCF,fen,2013,29,59
Owl,Coastal Fen,OCF,fen,2013,30,74
Owl,Coastal Fen,OCF,fen,2013,31,75
Owl,Coastal Fen,OCF,fen,2013,32,77
Owl,Coastal Fen,OCF,fen,2013,33,74
Owl,Spruce Forest,OSF,forest,2013,1,41
Owl,Spruce Forest,OSF,forest,2013,2,55
Owl,Spruce Forest,OSF,forest,2013,3,48
Owl,Spruce Forest,OSF,forest,2013,4,46
Owl,Spruce Forest,OSF,forest,2013,5,49
Owl,Spruce Forest,OSF,forest,2013,6,51
Owl,Spruce Forest,OSF,forest,2013,7,56
Owl,Spruce Forest,OSF,forest,2013,8,51
Owl,Spruce Forest,OSF,forest,2013,9,41
Owl,Spruce Forest,OSF,forest,2013,10,51
Owl,Spruce Forest,OSF,forest,2013,11,51
Owl,Spruce Forest,OSF,forest,2013,12,56
Owl,Spruce Forest,OSF,forest,2013,13,57
Owl,Spruce Forest,OSF,forest,2013,14,59
Owl,Spruce Forest,OSF,forest,2013,15,56
Owl,Spruce Forest,OSF,forest,2013,16,49
Owl,Spruce Forest,OSF,forest,2013,17,67
Owl,Spruce Forest,OSF,forest,2013,18,64
Owl,Spruce Forest,OSF,forest,2013,19,56
Owl,Spruce Forest,OSF,forest,2013,20,55
Owl,Spruce Forest,OSF,forest,2013,21,48
Owl,Spruce Forest,OSF,forest,2013,22,44
Owl,Spruce Forest,OSF,forest,2013,23,41
Owl,Spruce Forest,OSF,forest,2013,24,45
Owl,Spruce Forest,OSF,forest,2013,25,56
Owl,Spruce Forest,OSF,forest,2013,26,49
Owl,Spruce Forest,OSF,forest,2013,27,48
Owl,Spruce Forest,OSF,forest,2013,28,53
Owl,Spruce Forest,OSF,forest,2013,29,42
Owl,Spruce Forest,OSF,forest,2013,30,54
Owl,Spruce Forest,OSF,forest,2013,31,57
Owl,Spruce Forest,OSF,forest,2013,32,49
Owl,Spruce Forest,OSF,forest,2013,33,62
Roberge Lake,Peat Plateau - Ice Wedge,RIW,wedge,2013,1,50
Roberge Lake,Peat Plateau - Ice Wedge,RIW,wedge,2013,2,51
Roberge Lake,Peat Plateau - Ice Wedge,RIW,wedge,2013,3,52
Roberge Lake,Peat Plateau - Ice Wedge,RIW,wedge,2013,4,35
Roberge Lake,Peat Plateau - Ice Wedge,RIW,wedge,2013,5,47
Roberge Lake,Peat Plateau - Ice Wedge,RIW,wedge,2013,6,37
Roberge Lake,Peat Plateau - Ice Wedge,RIW,wedge,2013,7,31
Roberge Lake,Peat Plateau - Ice Wedge,RIW,wedge,2013,8,26
Roberge Lake,Peat Plateau - Ice Wedge,RIW,wedge,2013,9,50
Roberge Lake,Peat Plateau - Ice Wedge,RIW,wedge,2013,10,39
Roberge Lake,Peat Plateau - Ice Wedge,RIW,wedge,2013,11,42
Roberge Lake,Peat Plateau - Ice Wedge,RIW,wedge,2013,12,18
Roberge Lake,Peat Plateau - Ice Wedge,RIW,wedge,2013,13,20
Roberge Lake,Peat Plateau - Ice Wedge,RIW,wedge,2013,14,36
Roberge Lake,Peat Plateau - Ice Wedge,RIW,wedge,2013,15,10
Roberge Lake,Peat Plateau - Ice Wedge,RIW,wedge,2013,16,21
Roberge Lake,Peat Plateau - Ice Wedge,RIW,wedge,2013,17,6
Roberge Lake,Peat Plateau - Ice Wedge,RIW,wedge,2013,18,31
Roberge Lake,Peat Plateau - Ice Wedge,RIW,wedge,2013,19,45
Roberge Lake,Peat Plateau - Ice Wedge,RIW,wedge,2013,20,28
Roberge Lake,Peat Plateau - Ice Wedge,RIW,wedge,2013,21,36
Roberge Lake,Peat Plateau - Ice Wedge,RIW,wedge,2013,22,41
Roberge Lake,Peat Plateau - Ice Wedge,RIW,wedge,2013,23,36
Roberge Lake,Peat Plateau - Ice Wedge,RIW,wedge,2013,24,36
Roberge Lake,Peat Plateau - Ice Wedge,RIW,wedge,2013,25,54
Roberge Lake,Peat Plateau - Ice Wedge,RIW,wedge,2013,26,51
Roberge Lake,Peat Plateau - Ice Wedge,RIW,wedge,2013,27,13
Roberge Lake,Peat Plateau - Ice Wedge,RIW,wedge,2013,28,15
Roberge Lake,Peat Plateau - Ice Wedge,RIW,wedge,2013,29,16
Roberge Lake,Peat Plateau - Ice Wedge,RIW,wedge,2013,30,18
Roberge Lake,Peat Plateau - Ice Wedge,RIW,wedge,2013,31,16
Roberge Lake,Peat Plateau - Ice Wedge,RIW,wedge,2013,32,15
Roberge Lake,Peat Plateau - Ice Wedge,RIW,wedge,2013,33,19
Roberge Lake,Peat Plateau - Polygon Center,RPP,polygon,2013,1,3
Roberge Lake,Peat Plateau - Polygon Center,RPP,polygon,2013,2,5
Roberge Lake,Peat Plateau - Polygon Center,RPP,polygon,2013,3,7
Roberge Lake,Peat Plateau - Polygon Center,RPP,polygon,2013,4,5
Roberge Lake,Peat Plateau - Polygon Center,RPP,polygon,2013,5,5
Roberge Lake,Peat Plateau - Polygon Center,RPP,polygon,2013,6,4
Roberge Lake,Peat Plateau - Polygon Center,RPP,polygon,2013,7,4
Roberge Lake,Peat Plateau - Polygon Center,RPP,polygon,2013,8,5
Roberge Lake,Peat Plateau - Polygon Center,RPP,polygon,2013,9,5
Roberge Lake,Peat Plateau - Polygon Center,RPP,polygon,2013,10,6
Roberge Lake,Peat Plateau - Polygon Center,RPP,polygon,2013,11,10
Roberge Lake,Peat Plateau - Polygon Center,RPP,polygon,2013,12,9
Roberge Lake,Peat Plateau - Polygon Center,RPP,polygon,2013,13,8
Roberge Lake,Peat Plateau - Polygon Center,RPP,polygon,2013,14,10
Roberge Lake,Peat Plateau - Polygon Center,RPP,polygon,2013,15,6
Roberge Lake,Peat Plateau - Polygon Center,RPP,polygon,2013,16,4
Roberge Lake,Peat Plateau - Polygon Center,RPP,polygon,2013,17,7
Roberge Lake,Peat Plateau - Polygon Center,RPP,polygon,2013,18,5
Roberge Lake,Peat Plateau - Polygon Center,RPP,polygon,2013,19,6
Roberge Lake,Peat Plateau - Polygon Center,RPP,polygon,2013,20,7
Roberge Lake,Peat Plateau - Polygon Center,RPP,polygon,2013,21,5
Roberge Lake,Peat Plateau - Polygon Center,RPP,polygon,2013,22,10
Roberge Lake,Peat Plateau - Polygon Center,RPP,polygon,2013,23,8
Roberge Lake,Peat Plateau - Polygon Center,RPP,polygon,2013,24,5
Roberge Lake,Peat Plateau - Polygon Center,RPP,polygon,2013,25,10
Roberge Lake,Peat Plateau - Polygon Center,RPP,polygon,2013,26,9
Roberge Lake,Peat Plateau - Polygon Center,RPP,polygon,2013,27,11
Roberge Lake,Peat Plateau - Polygon Center,RPP,polygon,2013,28,7
Roberge Lake,Peat Plateau - Polygon Center,RPP,polygon,2013,29,6
Roberge Lake,Peat Plateau - Polygon Center,RPP,polygon,2013,30,7
Roberge Lake,Peat Plateau - Polygon Center,RPP,polygon,2013,31,4
Roberge Lake,Peat Plateau - Polygon Center,RPP,polygon,2013,32,4
Roberge Lake,Peat Plateau - Polygon Center,RPP,polygon,2013,33,4
Roberge Lake,Tree Island,RTI,island,2013,1,59
Roberge Lake,Tree Island,RTI,island,2013,2,84
Roberge Lake,Tree Island,RTI,island,2013,3,90
Roberge Lake,Tree Island,RTI,island,2013,4,86
Roberge Lake,Tree Island,RTI,island,2013,5,73
Roberge Lake,Tree Island,RTI,island,2013,6,76
Roberge Lake,Tree Island,RTI,island,2013,7,75
Roberge Lake,Tree Island,RTI,island,2013,8,98
Roberge Lake,Tree Island,RTI,island,2013,9,79
Roberge Lake,Tree Island,RTI,island,2013,10,83
Roberge Lake,Tree Island,RTI,island,2013,11,81
Roberge Lake,Tree Island,RTI,island,2013,12,90
Roberge Lake,Tree Island,RTI,island,2013,13,75
Roberge Lake,Tree Island,RTI,island,2013,14,83
Roberge Lake,Tree Island,RTI,island,2013,15,102
Roberge Lake,Tree Island,RTI,island,2013,16,92
Roberge Lake,Tree Island,RTI,island,2013,17,120
Roberge Lake,Tree Island,RTI,island,2013,18,118
Roberge Lake,Tree Island,RTI,island,2013,19,116
Roberge Lake,Tree Island,RTI,island,2013,20,104
Roberge Lake,Tree Island,RTI,island,2013,21,115
Roberge Lake,Tree Island,RTI,island,2013,22,108
Roberge Lake,Tree Island,RTI,island,2013,23,95
Roberge Lake,Tree Island,RTI,island,2013,24,99
Roberge Lake,Tree Island,RTI,island,2013,25,103
Roberge Lake,Tree Island,RTI,island,2013,26,94
Roberge Lake,Tree Island,RTI,island,2013,27,132
Roberge Lake,Tree Island,RTI,island,2013,28,126
Roberge Lake,Tree Island,RTI,island,2013,29,140
Roberge Lake,Tree Island,RTI,island,2013,30,148
Roberge Lake,Tree Island,RTI,island,2013,31,71
Roberge Lake,Tree Island,RTI,island,2013,32,72
Roberge Lake,Tree Island,RTI,island,2013,33,94
Broad,Coastal Beach Ridge,BBR,beach,2014,1,4
Broad,Coastal Beach Ridge,BBR,beach,2014,2,5
Broad,Coastal Beach Ridge,BBR,beach,2014,3,4
Broad,Coastal Beach Ridge,BBR,beach,2014,4,4
Broad,Coastal Beach Ridge,BBR,beach,2014,5,5
Broad,Coastal Beach Ridge,BBR,beach,2014,6,5
Broad,Coastal Beach Ridge,BBR,beach,2014,7,5
Broad,Coastal Beach Ridge,BBR,beach,2014,8,5
Broad,Coastal Beach Ridge,BBR,beach,2014,9,5
Broad,Coastal Beach Ridge,BBR,beach,2014,10,5
Broad,Coastal Beach Ridge,BBR,beach,2014,11,4
Broad,Coastal Beach Ridge,BBR,beach,2014,12,6
Broad,Coastal Beach Ridge,BBR,beach,2014,13,5
Broad,Coastal Beach Ridge,BBR,beach,2014,14,4
Broad,Coastal Beach Ridge,BBR,beach,2014,15,5
Broad,Coastal Beach Ridge,BBR,beach,2014,16,3
Broad,Coastal Beach Ridge,BBR,beach,2014,17,3
Broad,Coastal Beach Ridge,BBR,beach,2014,18,5
Broad,Coastal Beach Ridge,BBR,beach,2014,19,6
Broad,Coastal Beach Ridge,BBR,beach,2014,20,4
Broad,Coastal Beach Ridge,BBR,beach,2014,21,6
Broad,Coastal Beach Ridge,BBR,beach,2014,22,4
Broad,Coastal Beach Ridge,BBR,beach,2014,23,5
Broad,Coastal Beach Ridge,BBR,beach,2014,24,3
Broad,Coastal Beach Ridge,BBR,beach,2014,25,3
Broad,Coastal Beach Ridge,BBR,beach,2014,26,3
Broad,Coastal Beach Ridge,BBR,beach,2014,27,3
Broad,Coastal Beach Ridge,BBR,beach,2014,28,5
Broad,Coastal Beach Ridge,BBR,beach,2014,29,4
Broad,Coastal Beach Ridge,BBR,beach,2014,30,4
Broad,Coastal Beach Ridge,BBR,beach,2014,31,3
